id_code,year,st,cnty,num_anglers,mode_fx,area_x,hrsf,ffdays2,cntrbtrs,sub_reg,wave,prim1,prim2,region,tot_cat_targ
1563120170820001,2017,12,87,1,7,3,4,0,1,7,4,8837010104,NA,FL_Keys,0
1563120170820003,2017,12,87,2,7,4,3,0,1,7,4,8835360401,NA,FL_Keys,5
1563120170820004,2017,12,87,1,7,3,6,20,1,7,4,NA,NA,FL_Keys,0
1563120170820007,2017,12,87,3,7,3,3,0,1,7,4,NA,NA,FL_Keys,0
1563120170827001,2017,12,87,1,7,3,5,3,1,7,4,8738020201,8739010101,FL_Keys,0
1572020170702001,2017,12,87,1,7,3,5,9,4,7,4,NA,NA,FL_Keys,0
1572020170708004,2017,12,87,1,7,3,5,8,1,7,4,NA,NA,FL_Keys,0
1572020170708005,2017,12,87,1,7,3,2.5,8,1,7,4,8835360000,NA,FL_Keys,2
1572020170712001,2017,12,87,4,5,4,2,0,1,7,4,NA,NA,FL_Keys,0
1572020170712003,2017,12,87,4,5,4,2,0,1,7,4,NA,NA,FL_Keys,0
1572020170712009,2017,12,87,1,5,4,4,3,3,7,4,NA,NA,FL_Keys,2.4217100053961462
1572020170725001,2017,12,87,2,7,3,1,20,1,7,4,NA,NA,FL_Keys,2
1572020170803002,2017,12,87,2,7,3,3,2,1,7,4,8835290101,NA,FL_Keys,0
1572020170803003,2017,12,87,2,5,3,3,0,4,7,4,NA,NA,FL_Keys,0
1572020170808002,2017,12,87,1,5,4,3,0,1,7,4,NA,NA,FL_Keys,0
1572020170808007,2017,12,87,1,5,4,1,2,1,7,4,8835360401,NA,FL_Keys,10.041377740427214
1572020170811002,2017,12,87,2,7,4,5,4,1,7,4,8835290101,NA,FL_Keys,8
1572020170811001,2017,12,87,2,7,4,5,4,1,7,4,8835290101,NA,FL_Keys,0
1572020170822002,2017,12,87,2,5,3,2.5,0,1,7,4,NA,NA,FL_Keys,0
1577220170707004,2017,12,87,2,7,4,6,2,1,7,4,NA,NA,FL_Keys,0
1577220170707003,2017,12,87,2,7,4,6,2,1,7,4,NA,NA,FL_Keys,0.9737454809583578
1577220170708004,2017,12,87,2,5,4,4,1,2,7,4,NA,NA,FL_Keys,0
1577220170708006,2017,12,87,1,7,3,2,6,1,7,4,NA,NA,FL_Keys,0
1577220170708007,2017,12,87,3,7,4,5,2,4,7,4,8835360401,NA,FL_Keys,0
1577220170708011,2017,12,87,3,7,4,6,2,1,7,4,8835360000,NA,FL_Keys,0
1577220170708012,2017,12,87,3,7,4,6,3,1,7,4,8835360000,NA,FL_Keys,7.002875148923927
1577220170708013,2017,12,87,2,7,3,2.5,4,2,7,4,NA,NA,FL_Keys,0
1577220170709003,2017,12,87,4,7,4,5,15,4,7,4,NA,NA,FL_Keys,10.030421093313635
1577220170715001,2017,12,87,8,5,4,2.5,0,10,7,4,NA,NA,FL_Keys,6.5521111861789425
1577220170715012,2017,12,87,5,5,4,2.5,0,1,7,4,NA,NA,FL_Keys,4.974300134948525
1577220170715013,2017,12,87,5,5,4,2.5,0,1,7,4,NA,NA,FL_Keys,0
1577220170715014,2017,12,87,4,5,4,3,3,4,7,4,NA,NA,FL_Keys,4.957166891580874
1577220170721002,2017,12,87,2,7,3,1.5,0,1,7,4,NA,NA,FL_Keys,0
1577220170723006,2017,12,87,6,7,4,8,1,1,7,4,8835290101,NA,FL_Keys,60
1577220170724003,2017,12,87,2,5,3,3.5,0,2,7,4,NA,NA,FL_Keys,0
1577220170730001,2017,12,87,1,7,3,1.5,15,1,7,4,8835360000,NA,FL_Keys,0
1577220170730002,2017,12,87,1,7,3,2.5,10,2,7,4,8837010104,NA,FL_Keys,0
1577220170730003,2017,12,87,3,7,4,2,3,3,7,4,NA,NA,FL_Keys,0
1577220170730008,2017,12,87,3,7,3,2,16,1,7,4,NA,NA,FL_Keys,0
1577220170730009,2017,12,87,3,7,3,0.5,0,3,7,4,8835360102,NA,FL_Keys,0
1577220170730012,2017,12,87,1,7,4,4,15,1,7,4,8850030601,8850030400,FL_Keys,12
1577220170730013,2017,12,87,3,7,3,5,6,4,7,4,NA,NA,FL_Keys,0
1577220170730016,2017,12,87,1,7,3,0.5,20,1,7,4,8837010104,NA,FL_Keys,0
